Time,Turbidity ,Mu,Phase
0.0,-0.04655555555555555,,0.0
0.044444444444444446,1e-10,,0.0
0.08888888888888889,1e-10,,0.0
0.13333333333333333,0.000375,170.2942469768992,0.0
0.17777777777777778,1e-10,156.67070721874725,0.0
0.2222222222222222,1e-10,141.00363649687253,0.0
0.26666666666666666,0.00045454545454545455,130.85754660072251,0.0
0.3111111111111111,0.0006666666666666666,122.80696262195498,0.0
0.35555555555555557,0.0005,115.53827281560721,0.0
0.4,0.0005,108.65150825429112,0.0
0.4444444444444444,0.0005,102.02324537169534,0.0
0.4888888888888889,0.0006666666666666666,95.66000420423403,0.0
0.5333333333333333,0.0006666666666666666,89.55592746249636,0.0
0.5777777777777777,0.001,83.75025109204714,0.0
0.6222222222222222,0.001,78.23902587180633,0.0
0.6666666666666666,0.001,73.0213524599218,0.0
0.7111111111111111,0.001,68.09561092988999,0.0
0.7555555555555555,0.001,63.45811738045524,0.0
0.8,0.001,59.102879950178036,0.0
0.8444444444444444,0.001,55.02182519455912,0.0
0.8888888888888888,0.001,51.20519551841296,0.0
0.9333333333333333,0.001,47.641977700525686,0.0
0.9777777777777777,0.001,44.320300573599276,0.0
1.0222222222222221,0.001,41.22777814848424,0.0
1.0666666666666667,0.001,38.351792871179676,0.0
1.1111111111111112,0.001,35.679722132153294,0.0
1.1555555555555554,0.001,33.19911457320304,0.0
1.2,0.001,30.89782369048975,0.0
1.2444444444444445,0.001,28.764106015228354,0.0
1.288888888888889,0.001,26.7866904333575,0.0
1.3333333333333333,0.001,24.95482431960446,0.0
1.3777777777777778,0.001,23.25830127416851,0.0
1.4222222222222223,0.001,21.687474435946807,0.0
1.4666666666666666,0.001,20.2332586324818,0.0
1.511111111111111,0.001,18.887124018007217,0.0
1.5555555555555556,0.001,17.6410833405637,0.0
1.6,0.001,16.487674556133797,0.0
1.6444444444444444,0.001,15.419940159942524,0.0
1.6888888888888889,0.001,14.431404320769818,0.0
1.7333333333333334,0.0006666666666666666,13.512539840101349,0.0
1.7777777777777777,0.001,12.66196297476819,0.0
1.8222222222222222,0.001,11.874389479580312,0.0
1.8666666666666667,0.001,11.14493298486412,0.0
1.9111111111111112,0.001,10.46907855232742,0.0
1.9555555555555555,0.001,9.842657295108664,0.0
2.0,0.001,9.261822165795357,0.0
2.0444444444444443,0.001,8.7230249751905,0.0
2.088888888888889,0.001,8.22299467247718,0.0
2.1333333333333333,0.001,7.758716892514545,0.0
2.1777777777777776,0.001,7.327414756922316,0.0
2.2222222222222223,0.001,6.926530901249356,0.0
