Time,M0,M1,M2,M3,M4,M5,M6,M7
1.362236111,0.032216054,-0.012299624,0.067629076,-0.117059232,-0.043313158,0.015499239,0.042458953,-0.002372373
1.390022222,0.034666474,-0.011432034,0.053607625,0.000231442,-0.009083568,0.079312902,0.048970999,0.060184162
1.417833333,-0.001904191,-0.015543609,0.065100828,-0.051547851,-0.059561366,0.042787989,0.058580233,0.005051779
1.445655556,0.038344632,-0.007929468,0.078680518,0.043600826,-0.017157916,0.057861054,0.032298821,-0.000512807
1.473466667,-0.037155848,-0.019993094,0.05623783,-0.022978401,-0.010832485,0.059099426,0.009231179,0.040080382
1.501261111,-0.034696918,-0.00921355,0.066161971,-0.06202163,-0.029126142,0.043318351,0.048453154,0.012257131
1.529069444,-0.03015603,-0.017715964,0.081218811,0.005665099,-0.020500983,0.093740972,0.005298743,0.025401182
1.556866667,-0.069306273,-0.001214433,0.071848062,0.004347077,-0.022358785,0.021037679,0.045025714,0.019783545
1.584677778,-0.007061483,-0.005878608,0.050602976,-0.034976584,0.191372737,0.0087309,0.055955663,0.016468509
1.612469444,0.029113461,-0.011199852,0.086170025,-0.017109025,-0.042809371,0.021138114,0.078864994,-0.032756423
1.640280556,0.066081356,-0.02713145,0.057360062,0.010510675,-0.059527748,0.101533386,0.04877406,0.001864452
1.668088889,0.107752477,0.004173411,0.365310207,0.024650082,-0.048931465,0.04085431,0.020897074,-0.009672392
1.6959,0.048872187,-0.006055424,0.028974383,0.126675794,-0.041710491,0.073907167,0.039737381,0.009526897
1.723708333,0.022375605,-0.027830454,0.062921523,-0.063027378,-0.06772373,0.061001053,0.025342252,-0.045734516
1.7515,0.053814907,-0.027962934,-0.077120354,-0.027243604,-0.057017402,0.128869485,0.024265593,-0.168922656
1.779311111,0.061860989,-0.013702512,0.010516981,0.542583331,-0.045153538,0.06376766,0.051333354,0.058689159
1.807113889,0.044997606,-0.019952043,0.691998664,0.053422016,-0.027641209,0.089443143,0.010659141,0.010724623
1.834925,-0.101069934,-0.012744139,0.157401474,-0.263985068,-0.036828215,0.066509585,0.002038706,-0.001367102
1.862727778,-0.034594124,-0.027084208,0.073336122,0.01648057,0.002758944,0.097244685,0.042907113,0.018770305
1.890527778,0.001584829,-0.003521053,0.080492211,-0.025443919,-0.066814013,0.052540431,0.060337033,0.003027028
1.918316667,0.069719635,-0.036930341,0.11338916,-0.051241387,-0.066321506,0.075708456,0.029862829,-0.01912622
1.946127778,0.100509231,-0.006167838,0.236152878,-0.045719539,-0.04085436,0.094361417,0.054073445,0.015344497
1.973936111,-0.019017324,-0.033021339,0.078379151,-0.028564043,-0.010518427,0.131173735,0.066833847,0.003579148
2.001730556,0.042602286,-0.027511138,0.055561182,-0.028425987,-0.021169555,0.02714426,0.0679414,0.04267882
