Time,M0 - 31.5,M1 - 31.5,M2 - 31.5,M3 - 30C,M4 - 30C,M5 - 28.5C,M6 - 28.5C,M7 - 28.5C
1.306705556,0.020531335,-0.015893819,0.048581801,0.008001519,0.037245168,0.183908084,0.030727557,-0.118166593
1.334511111,-0.005381467,-0.017141501,0.008847376,0.000782732,0.039862947,0.022529694,0.025902288,-0.141589293
1.362322222,-0.051878721,-0.016841469,0.030400717,0.00341721,0.041471007,0.275582357,0.013497678,-0.131307552
1.390119444,-0.086912595,-0.015259925,0.026273276,-0.003124429,0.041831895,0.006366469,0.017104813,-0.136572526
1.417930556,-0.045295755,-0.012749983,0.03179328,-0.000317463,0.041073129,0.062614371,0.029609253,-0.178168547
1.445730556,-0.044761239,-0.013234444,0.012374944,0.010712263,0.039526426,0.194305643,0.020784214,-0.178748512
1.473538889,-0.05440545,-0.013887589,0.024197724,0.00043014,0.041748183,0.334391792,0.011666676,-0.147541152
1.501344444,-0.039777613,-0.013277617,-0.011446988,0.003521251,0.037566187,0.025406398,0.013824967,-0.142662333
1.529158333,-0.066277114,-0.013927172,-0.052492065,6.9261E-06,0.043758085,0.039454169,0.007109189,-0.151983055
1.556955556,-0.042703179,-0.013104532,0.012526954,0.000783292,0.044275332,-0.002874407,0.009222466,-0.142148829
1.584761111,-0.051425635,-0.013992772,0.042839547,0.001471664,0.044834041,0.188716833,0.001479066,-0.182315136
1.612563889,-0.045667216,-0.015242709,0.130531729,0.002975215,0.040772824,0.086022006,0.002308571,-0.148591191
1.640375,-0.057357248,-0.013957951,0.022010766,0.004208619,0.044164836,0.280247887,-0.000414277,-0.153555513
1.668183333,-0.048902597,-0.010918915,0.119689995,-0.000222628,0.040494513,0.08864631,7.44779E-05,-0.15055129
1.695972222,-0.048168885,-0.013194602,0.034464079,0.008846655,0.041682405,-0.006514685,0.010772718,-0.146010677
1.723780556,-0.050532191,-0.014597831,0.198128707,0.010498401,0.041533547,0.14477854,0.035986763,-0.176193145
1.751583333,-0.050770061,-0.016619106,0.07674899,0.00912016,0.042401487,-0.010452662,0.020312633,-0.143735984
1.779394444,-0.036820693,-0.013541263,0.189462963,0.004450544,0.046131154,0.068023743,0.031675193,-0.177458649
1.807197222,-0.052357226,-0.009940741,0.043950719,0.014400992,0.047498713,0.341344462,0.036036822,-0.11720027
1.835008333,-0.051916665,-0.009999087,-0.039869066,0.015014908,0.045126745,0.095964807,0.034590713,-0.145505491
1.862816667,-0.053419805,-0.010792539,-0.009588158,0.01350809,0.043186559,-0.004378057,0.033545504,-0.173550691
1.890611111,-0.0469365,-0.011891675,0.036640474,0.007352774,0.040368668,-0.091692361,0.009400743,-0.170085288
1.918422222,-0.045572771,-0.010106904,-0.019694988,0.00701144,0.045308643,0.154129379,0.009368406,-0.130997897
1.946233333,-0.046921993,-0.009098604,-0.017095051,0.003172123,0.04562749,-0.037329617,0.010020702,-0.101239734
1.974019444,-0.043646851,-0.011777141,0.021062877,0.002915086,0.040810749,0.108508264,0.034361127,-0.145124182
2.001822222,-0.047957436,-0.010723206,0.052979601,0.016110554,0.046774686,-0.033673225,0.02401096,-0.172355774
2.029608333,-0.036744144,-0.009281411,0.123608171,0.013081946,0.043415825,0.065413643,0.035996353,-0.176401806
2.057419444,-0.045701367,-0.012720707,0.028008503,0.018319218,0.044333538,-0.065057118,0.03438017,-0.155356291
2.085222222,-0.042967505,-0.008875309,-0.023278141,0.001551258,0.042222554,-0.060808209,0.030771253,-0.13908094
2.113027778,-0.053874286,-0.007878343,0.000714905,0.010768754,0.049082332,-0.039123045,0.031881192,-0.151121523
2.140827778,-0.043298853,-0.011222295,-0.019799901,0.01850064,0.044707529,0.055885405,0.033537923,-0.15571585
2.168613889,-0.031450403,-0.008400689,0.065293516,0.003804145,0.047955936,0.031489565,0.021463233,-0.154465936
2.196422222,-0.045860336,-0.011929512,0.094089793,0.015811078,0.044425087,0.070213369,0.030052339,-0.154362486
2.224227778,-0.04767651,-0.01326905,-0.028843973,0.014182613,0.04635999,-0.044384885,0.024780809,-0.137353318
2.252019444,-0.0476889,-0.007964313,0.059147264,0.001958784,0.043610331,0.072282055,0.023589754,-0.121384248
2.279808333,-0.042373902,-0.009078934,0.026839091,0.013668549,0.044078129,-0.084124454,0.026579469,-0.119025158
2.307611111,-0.042889261,-0.009486922,0.022583686,0.01321469,0.048120848,0.064238482,0.021446157,-0.141966207
2.335413889,-0.035807247,-0.007042475,0.052491307,0.0192023,0.046822396,0.060772068,0.013048076,-0.154957057
2.363211111,-0.072818459,-0.003690165,0.121103964,0.01546582,0.049158687,-0.109955631,0.012505978,-0.155480127
2.391011111,-0.03244037,-0.00590706,0.207402222,0.018734393,0.045379274,-0.063208887,0.01276756,-0.148509486
2.418802778,-0.046421761,-0.007246151,0.125932769,0.007949004,0.048301903,0.075460033,0.013952575,-0.135053111
2.446613889,-0.087847477,-0.003006247,0.035927881,0.007204694,0.047432741,-0.063895781,0.016710277,-0.12361912
2.474422222,-0.0506668,-0.00891847,0.053674357,0.01450057,0.050995345,0.008647069,0.014321255,-0.125757961
2.502208333,-0.086842944,-0.001985066,0.08878721,0.01028635,0.050582527,-0.090448267,0.010708235,-0.130635832
2.530019444,-0.067399148,-7.91409E-05,0.033574176,0.017911815,0.051683004,0.050649085,0.005080288,-0.159500429
2.557827778,-0.079363432,-0.001833198,0.163209211,0.011052806,0.049011189,0.121833612,0.004087585,-0.15759161
2.585619444,-0.076960663,-0.001657026,0.221218485,0.015951601,0.044812269,0.023148277,0.003615012,-0.159726049
2.613408333,-0.058699599,-0.006587903,0.165810511,0.015589035,0.04993479,0.120268596,0.003255787,-0.15742492
2.641205556,-0.048347685,-0.004197235,0.024288253,0.020706015,0.050610938,0.072069398,-0.001246809,-0.107464694
2.669011111,-0.043779534,-0.005486697,0.048725252,0.010987643,0.053688579,0.040766725,0.000865743,-0.136279495
2.696819444,-0.046624998,-0.00630137,0.046643082,0.019958267,0.050841446,0.068611531,-0.005494363,-0.153707801
2.724608333,-0.026351228,0.001590928,0.025511439,0.012366347,0.050252777,0.043704511,-0.004182703,-0.129186359
2.7524,-0.018900695,-0.0035368,0.011816969,0.015356439,0.051779636,-0.096125713,0.006978666,-0.182640352
2.780211111,-0.020701606,-0.004617233,0.016026355,0.020339025,0.053506352,0.064583929,0.007223072,-0.193685203
2.808022222,-0.026525774,-0.000294321,0.008223083,0.013155174,0.050134467,0.048019292,-0.017505203,-0.196727399
2.835822222,-0.022185982,-0.000739016,0.037048789,0.014305672,0.051591986,-0.012116523,-0.002234933,-0.200011472
2.863630556,-0.036436519,-0.004641572,-0.005853589,0.014896498,0.051157276,0.047498956,0.005494985,-0.166055593
2.891433333,-0.005813432,-0.001240026,0.019671987,0.024823524,0.055077539,0.1136197,0.007186778,-0.188900543
2.919230556,-0.027501531,-0.001426491,0.030472369,0.012649727,0.052527619,-0.040889306,0.00583572,-0.176849887
2.947030556,-0.020088862,-0.003718411,0.047350529,0.026371824,0.049724006,-0.001390681,0.001936618,-0.13646154
2.974822222,-0.013472482,-0.001524124,0.031131199,0.014500458,0.055354614,0.072948384,0.010905114,-0.165132458
3.002622222,-0.030930684,-0.001148469,0.007338309,0.02033709,0.045033192,0.076437901,0.009432587,-0.158237429
3.030411111,-0.020820945,0.000498804,0.016877974,0.020517396,0.050676652,0.159970761,0.000878791,-0.168645395
3.058202778,-0.029860784,0.001839438,0.028587383,0.019203704,0.051665977,0.080618716,0.008724653,-0.168570027
3.086005556,-0.002167784,-0.002081112,0.008451173,0.023445373,0.050085993,-0.06509083,0.00793794,-0.142601193
3.113805556,-0.002668172,0.004130295,0.004414179,0.015862484,0.055514582,0.076975989,0.010916259,-0.194317712
3.141616667,-0.029825919,0.002049673,0.008969392,0.018584124,0.055164509,0.125721726,0.01024638,-0.145858369
3.169411111,-0.045588387,0.000105098,0.039160308,0.027417304,0.05555521,0.003282705,0.00579115,-0.142117304
3.197205556,-0.042323031,0.002461624,0.027374412,0.02580883,0.055852947,0.082536475,-0.000864826,-0.17532265
3.225022222,-0.037787057,0.002938284,0.022859139,0.019244312,0.05467718,-0.059438564,0.007654037,-0.139180777
3.252830556,-0.029731149,0.002654381,0.043807706,0.024712003,0.050576614,0.08697629,0.002112148,-0.153951146
3.280638889,-0.021966307,0.003049083,-0.000110346,0.021057545,0.052854723,-0.033135463,0.004435364,-0.138243501
3.308438889,-0.039391933,0.007426427,-0.070813124,0.029234852,0.057319603,-0.061000754,0.002574106,-0.143774607
3.336244444,-0.041641471,0.001458149,0.000691717,0.025129242,0.054690224,-0.058154892,-0.000616972,-0.132704358
3.364052778,-0.043723372,0.00767958,0.005925928,0.028234916,0.057167086,-0.01791401,0.008982521,-0.135716401
3.391852778,-0.027141544,0.00088895,0.068143026,0.024110182,0.056488043,-0.048739058,0.004796448,-0.118109912
3.41965,-0.023991757,0.00445436,0.136494331,0.030211447,0.055676187,0.058673373,-0.003134499,-0.149574491
3.447458333,-0.024823524,0.007105224,0.030134849,0.025573633,0.057235955,-0.057907142,0.000373637,-0.149802181
3.475269444,-0.004160506,0.005826106,0.092493758,0.021679041,0.056262029,-0.036587432,-0.002741838,-0.133319358
3.503075,-0.01488642,0.007396571,0.0455809,0.018363036,0.058419639,0.086538574,6.95879E-06,-0.138345428
3.530883333,-0.038092822,0.002807641,-0.066041767,0.024569588,0.058807183,-0.051898257,0.000302502,-0.130532451
3.558672222,-0.010515422,0.004402419,0.036872472,0.030707286,0.060312822,0.083577571,-0.002183814,-0.140258673
3.586461111,-0.025142498,0.00997414,0.047893687,0.029949423,0.057628755,0.105705512,-0.005272349,-0.113712608
3.614252778,-0.012109972,0.004378422,0.03140354,0.015522226,0.056465525,0.058562444,-0.020996894,-0.147921783
3.642061111,-0.013805586,0.003017966,-0.001604422,0.02138395,0.057121257,0.003032545,-0.019388235,-0.132123326
3.669872222,-0.012445948,0.005640665,0.041387483,0.024742636,0.057582151,-0.005597372,-0.011432245,-0.150782076
3.697683333,-0.011271696,0.0070613,0.032468869,0.02333154,0.057400442,0.100697036,-0.026722094,-0.14276
3.725472222,-0.021588552,0.006229423,0.030217449,0.02237658,0.063870635,0.006823541,-0.024993712,-0.142027903
3.753263889,-0.015295812,0.009426041,0.06053031,0.031201817,0.06180533,-0.004475612,-0.035617082,-0.136226616
3.78105,-0.022880291,0.007041204,0.039857446,0.026462407,0.061625618,0.030174692,-0.030673376,-0.144948689
3.808838889,-0.022711031,0.003184324,0.055215798,0.028512856,0.059061248,0.013805164,-0.028070918,-0.150357529
3.836647222,-0.003451214,0.007111204,0.05650196,0.028698218,0.061014776,-0.030536516,-0.026090612,-0.148790149
3.86445,0.008971298,0.00713684,0.028256325,0.024684832,0.059720728,0.096458366,-0.025077264,-0.137716371
3.89225,0.004427906,0.011289996,0.02878569,0.035741482,0.057905769,0.02709148,-0.030834503,-0.150097541
3.920041667,0.007346751,0.007999903,0.062537543,0.037884844,0.061052805,0.07680619,-0.031876627,-0.153046428
3.947844444,0.001437682,0.009447597,0.006909741,0.028535118,0.060778121,0.137220454,-0.045840051,-0.157015495
3.975638889,-0.005566629,0.011713966,0.13120801,0.034931105,0.059572048,0.016468507,-0.038000404,-0.154534522
4.003433333,-0.004845798,0.007835998,0.023394075,0.025828683,0.062096001,-0.023987191,-0.032940613,-0.161653887
4.031219444,-0.005899034,0.009263197,0.042703305,0.030579163,0.061811812,0.088558387,-0.046293152,-0.167236139
4.059025,0.005631358,0.014475718,-0.016752143,0.032070772,0.064328807,0.093175603,-0.034608364,-0.164771627
4.086816667,-0.001044161,0.014020404,0.03211785,0.031477364,0.058604933,0.022287772,-0.045712364,-0.16229811
4.114608333,0.003315819,0.006463749,0.042442462,0.041036955,0.063447642,0.010124761,-0.044188899,-0.15761724
4.1424,-0.008999145,0.009987958,0.029525947,0.029281344,0.070455615,-0.006357472,-0.035333741,-0.153133041
4.170188889,-0.008581979,0.010472354,0.014549533,0.029843088,0.064533143,0.022749946,-0.043362465,-0.138496131
4.197991667,-0.013203431,0.016502904,0.051375159,0.042385066,0.06305757,0.049425156,-0.039233338,-0.146250973
4.2258,0.001069875,0.012340125,0.066948635,0.03816346,0.056443866,0.150917809,-0.044863399,-0.131971021
4.253594444,-0.008277745,0.014976525,0.025155797,0.035121895,0.064582377,0.036605516,-0.046734447,-0.139862904
4.281402778,-0.018518354,0.013827764,0.013309754,0.034716471,0.066495071,0.031471701,-0.044052602,-0.139663495
4.309213889,0.002158851,0.009959733,-0.004800153,0.030639822,0.063546176,0.007866052,-0.039953009,-0.133559661
4.337022222,-0.019644511,0.016658278,0.033946323,0.031614212,0.067643578,0.103071292,-0.041556612,-0.126942344
4.364833333,0.002373398,0.011596494,0.125065922,0.034201593,0.067642018,0.037943387,-0.022155698,-0.121282585
4.392625,-0.009787308,0.011419231,0.163869377,0.031752318,0.062982362,0.025639619,-0.031309217,-0.131180829
4.420422222,0.011877892,0.012595313,0.02215493,0.034263608,0.068134139,0.078453625,-0.038201794,-0.134372219
4.448227778,0.014416928,0.015507563,0.064293086,0.034153446,0.067111431,0.010062562,-0.035543982,-0.130973811
4.476030556,-0.006384185,0.012668718,0.025042901,0.041148198,0.067950211,0.040482777,-0.022765781,-0.135227767
4.503838889,0.002344136,0.017095272,0.094540895,0.040556536,0.071136265,0.041484774,-0.026539026,-0.125657507
4.531633333,0.006287949,0.014108931,0.074270688,0.037088038,0.068148395,0.061038326,-0.018142068,-0.110147531
4.559433333,0.012366668,0.01533638,0.044593339,0.046549053,0.070100583,0.125123383,-0.016936551,-0.105774981
4.587222222,0.013022765,0.016185093,0.073030082,0.034027315,0.071624928,0.01572496,-0.011819714,-0.104049595
4.615011111,0.001538782,0.015857545,0.048653482,0.043546701,0.069306688,0.150750625,-0.003439482,-0.139748045
4.642819444,0.011164468,0.014697514,0.075331923,0.046056726,0.075179911,0.008675559,-0.004858399,-0.107586659
4.670616667,0.021479922,0.016864023,0.074987232,0.04483937,0.073799241,0.152397093,-0.004394533,-0.098958522
4.698413889,0.001790304,0.01607549,0.045327925,0.03820277,0.071503652,0.151642415,-0.004309178,-0.113035535
4.726222222,0.029042943,0.018730843,0.069306613,0.047517491,0.061382771,0.020344232,-0.000223225,-0.113750939
4.754019444,0.020650153,0.015278674,0.100872648,0.044907673,0.07232537,0.124651972,0.002234921,-0.088560482
4.781827778,0.014438971,0.017242358,0.055129385,0.039122215,0.074936476,0.120910532,0.007759103,-0.088561741
4.809630556,0.017035764,0.01542772,0.090344543,0.041012668,0.069240471,0.136335457,0.00429286,-0.084215411
4.837436111,0.011158276,0.017172233,0.063990213,0.041430099,0.071889476,0.033036596,-0.001399952,-0.084606611
4.865236111,0.022464036,0.0169586,0.035778674,0.043343061,0.069340544,0.139738103,0.00323128,-0.094169397
4.893044444,0.020045127,0.019754588,0.045684182,0.046176704,0.072793862,0.104909287,-0.001507687,-0.097198104
4.920847222,0.0147642,0.01926914,0.039993838,0.048804222,0.071499835,0.028413525,0.012280094,-0.103740225
4.948658333,0.021083379,0.020560338,0.073549598,0.043891863,0.068976248,0.090833198,-0.003190702,-0.089626424
4.97645,0.01912381,0.021941186,0.052749472,0.042963061,0.073558676,0.072347049,0.014714295,-0.101016939
5.004263889,0.00979855,0.016776359,0.078811738,0.046333887,0.076529198,0.034550999,0.010813221,-0.08626974
5.032061111,0.022767656,0.021099602,0.056767131,0.043095395,0.076057959,0.037096806,-0.001869092,-0.079039447
5.059872222,0.026101827,0.017461377,0.065903431,0.049546812,0.078343291,0.034756509,0.018460033,-0.091842821
5.087683333,0.023489594,0.02011172,0.048345855,0.043127285,0.07314159,0.015164008,0.01072714,-0.079937105
5.115491667,0.020426452,0.017184247,0.088485592,0.04974966,0.076810996,0.044181121,0.017696026,-0.0821592
5.143302778,0.010700551,0.020535618,0.207334844,0.043867688,0.078223093,0.035561019,0.015789891,-0.08287663
5.171108333,0.024666345,0.020153862,0.073953155,0.04726792,0.078024663,0.01398193,0.015870855,-0.117450976
5.198919444,0.035928163,0.021230875,0.063818675,0.057089196,0.073745205,0.016393987,0.025148583,-0.084398718
5.226711111,0.028999199,0.020167378,0.067077107,0.058126467,0.078364712,0.043491598,0.012497766,-0.092220742
5.254511111,0.022606892,0.023519984,0.061626597,0.044864589,0.078920834,0.032297547,0.02384934,-0.088401993
5.282308333,0.042388017,0.024654831,0.075190807,0.049608183,0.079447178,0.048104382,0.00492351,-0.095327724
5.310111111,0.02047385,0.024108249,0.033503232,0.056154294,0.082344273,0.033093525,0.009006754,-0.092278377
5.337919444,0.031367311,0.019265769,0.109806388,0.049759802,0.084718192,0.035345094,0.013108389,-0.083361216
