Time,M0 - 3%,M1 - 3%,M2 - 1%,M3 - 1%,M4 - 6%,M5 - 6%,M6 - 8%,M7 - 8%
1.306819444,-0.068229649,-0.001113065,0.051932097,-0.001467872,-0.006734803,0.005381847,0.045916922,-0.16026158
1.334625,-0.064712175,0.011160628,0.06040073,-0.003608896,-0.002358015,0.005067965,0.047822191,-0.191345194
1.362430556,-0.070739651,0.00527257,0.055128274,-0.001898909,0.007530104,0.010930518,0.044967343,-0.215703907
1.390225,-0.064481233,-2.65E-05,0.061211512,-0.002194103,0.01486789,0.027728778,0.045142557,-0.181882206
1.418011111,-0.048032112,-0.006713165,0.06182783,0.00167146,0.02276968,0.016818174,0.048114145,-0.188841494
1.445819444,-0.060078519,0.009876654,0.062666882,-0.00104185,0.028406232,0.007729348,0.044591025,-0.194097394
1.473627778,-0.069947455,0.001388526,0.065468136,-0.002736563,0.032934584,0.012035298,0.046226292,-0.228976316
1.501416667,-0.064970602,0.007953616,0.063596777,-0.002179114,0.032099514,0.006681924,0.046192916,-0.224480603
1.529222222,-0.055399828,-0.002605987,0.066714652,-1.72E-03,0.036987717,0.01621414,0.045574306,-0.208721009
1.557019444,-0.065220349,-0.000470651,0.065035849,-0.00315883,0.032506304,0.001686279,0.044353773,-0.20908093
1.584819444,-0.069057331,-0.001455342,0.066580515,0.000678246,0.030824414,0.012106899,0.046077373,-0.167831298
1.612627778,-0.066488295,0.001685912,0.0667615,-0.003144887,0.02050651,0.018221993,0.044691361,-0.187076648
1.640419444,-0.068011001,0.003077839,0.064654318,-0.00142674,0.028858876,0.015925952,0.042266753,-0.176849029
1.668227778,-0.050006016,0.00531669,0.066712332,-0.002968451,0.037695247,0.00948387,4.32E-02,-0.174673278
1.696027778,-0.057344118,-0.004815959,0.063111001,-0.002409345,0.038962314,0.009035365,0.045880918,-0.172460358
1.723838889,-0.071793147,0.00174652,0.063235732,-0.000937591,0.034578844,0.010234472,0.041081066,-0.16770797
1.751636111,-0.049757082,0.004689074,0.063428964,-0.003238772,0.030983431,0.030823265,0.043200158,-0.15362727
1.779425,-0.047472847,-0.005564787,0.06706298,-0.004082871,0.031507945,0.025962154,0.042083653,-0.177667335
1.807236111,-0.068566523,0.005635163,0.061446733,-0.003556345,0.029266829,0.034009235,0.042013423,-0.166426689
1.835027778,-0.067681604,0.010608868,0.053793582,-0.001957954,0.034355063,0.02651881,0.044003689,-0.168590863
1.862816667,-0.070854905,-0.009380122,0.046933321,-0.003991281,-0.024140097,0.014697663,0.042494532,-0.16197859
1.890625,-0.069419203,0.002978311,0.049867576,-0.003991682,-0.029827128,-0.001778222,0.044460598,-0.164346334
1.918427778,-0.058710197,0.010736434,0.045203569,-0.003382035,0.00279248,0.03375295,0.043552695,-0.163085905
1.946213889,-0.070460897,0.00727733,0.049030396,-0.005620829,0.00477856,0.033330673,0.045258554,-0.141932233
1.974025,-0.056993091,0.004777814,0.043874876,-1.53E-05,0.005413427,0.007119832,0.044491371,-0.17047898
2.001836111,-0.055147208,0.009609278,0.036112445,0.000114356,0.005201867,0.004609177,0.041856851,-0.160960588
2.029644444,-0.049072256,0.007182072,0.03883409,-0.007265279,0.00253162,0.017517581,0.040427424,-0.17465313
2.057444444,-0.069024406,-0.004790815,0.014614825,-0.004731663,0.003718636,0.018891692,0.04611787,-0.164421155
2.085252778,-0.068667663,0.000624328,0.022083898,-0.002035136,0.006897232,0.021834095,0.045239674,-0.159837651
2.113052778,-0.068817324,0.002039534,0.015521783,-0.003343216,-0.0002069,0.025445182,0.043118397,-0.163462409
2.140844444,-0.072511949,0.007488537,0.013121377,-0.004102898,7.05E-05,0.022526434,0.041968586,-0.14715955
2.168633333,-0.047119804,0.007213588,0.021247415,-0.005823487,0.000283706,0.017714349,0.043015267,-0.143812965
2.196425,-0.046607666,0.008754352,0.008814231,-0.007868322,0.000462171,0.008175067,0.044897541,-0.137315111
2.224236111,-0.06253207,0.005759252,0.011643986,-0.007107539,0.001679681,0.00836661,0.0481659,-0.11524702
2.252041667,-0.065932697,-0.001342299,0.010299989,-0.008758991,0.005459705,0.023197138,0.046205577,-0.097895922
2.279847222,-0.073976773,0.009539906,0.006898178,-0.00747912,0.004588408,0.005889298,0.048556629,-0.047145112
2.307655556,-0.058820072,0.002915222,0.007783713,-0.004953729,0.003666923,-0.004896513,0.045457416,-0.044527755
2.335461111,-0.071952373,0.000930556,0.008910393,-0.006191893,0.004494122,0.012819681,0.048572011,-0.039144695
2.363247222,-0.052595767,0.015191433,0.007204812,-0.003308774,0.00542535,0.012062036,0.045769639,-0.036200565
2.391055556,-0.073849881,0.007767367,0.007964269,-0.006560516,0.020536707,0.022085777,0.049364245,-0.014477106
2.418866667,-0.074315047,0.008851617,0.006010564,-0.006794856,0.007885809,0.008952906,0.047578722,-0.018639905
2.446658333,-0.075521366,0.002561869,0.007066896,-0.010420858,0.006097832,-0.002072645,0.049265303,-0.017219357
2.474466667,-4.96E-02,0.014684488,0.00732263,-0.002388009,0.007244549,-0.007223402,0.058603796,-0.038375778
2.502272222,-0.041708476,0.004066613,0.006794017,-0.006201811,0.016771507,-0.013206015,0.046517855,-0.020002484
2.530061111,-0.069967691,1.22E-02,0.008991436,-0.008507506,0.024121959,-0.004379252,0.050203449,-0.023444235
2.557872222,-0.046470479,0.011576818,0.003011542,-0.005651152,0.015357986,0.009528996,0.049045426,-0.048411647
