Time,M0 - 1%,M1 - 1%,M2 - 3%,M3 - 3%,M4 - 6%,M5 - 6%,M6 - 10%,M7 - 10%
1.306758333,-0.033213634,-0.079749302,0.038618314,0.019651268,0.032953204,0.058513598,0.184113457,-0.099700587
1.334566667,0.013793419,-0.086158855,0.09616677,0.047230789,0.01230558,0.013641133,0.227756342,-0.100830887
1.362361111,-0.027496338,-0.053679201,0.034280335,0.061305418,-0.026285645,0.028195258,0.147431143,-0.106530064
1.390152778,0.003160732,-0.039986965,0.062129253,0.028998845,0.024929242,0.040798658,0.170576716,-0.097639034
1.417944444,0.038107212,-0.016939089,0.008363287,0.01886082,0.02481708,0.047039666,0.070602236,-0.104054779
1.445755556,-0.051940559,-0.103040105,-0.05734051,0.025171055,0.024227369,0.071613236,-0.095855303,-0.105525398
1.473552778,0.030685843,0.017921823,0.010784675,0.041667439,0.007843221,-0.004699663,0.02079415,-0.095940464
1.501363889,-0.043226076,-0.043511269,0.030369578,0.092415104,0.03508432,0.086286586,0.043460377,-0.097991971
1.529172222,-0.041572085,-0.051328342,0.040287076,0.060253378,0.040130223,0.066520504,0.069368016,-0.100569121
1.556980556,-0.037950083,0.027953602,0.046688575,0.057335678,-0.001820184,0.070838449,0.025458834,-0.102204329
1.584766667,-0.015857094,0.021403147,0.051291038,0.061539982,0.031788234,0.060039878,0.015407083,-0.093300606
1.612555556,-0.028065948,0.06405572,0.027590676,0.052874233,0.012155645,0.082057221,0.025807814,-0.088871474
1.640363889,-0.023254955,0.012033927,0.028171063,0.048414467,0.014350172,0.052818898,0.024971145,-0.08620641
1.668155556,-0.024745383,0.034818679,0.066744377,0.078315005,0.034005412,0.073177916,0.008079819,-0.100974357
1.695969444,-0.004755054,0.046398044,0.017931023,0.051806242,0.019546335,0.052377007,0.030127032,-0.104950907
1.723777778,-0.046013348,0.006442784,0.028952398,0.06837895,0.016019303,0.114977529,0.026536451,-0.090657012
1.751588889,0.001673119,-0.024426728,-0.012147753,0.042758185,0.01001981,0.066219882,0.05667431,-0.081328529
1.779394444,0.001811019,-0.027407514,-0.00432847,0.022178848,0.031460064,0.050098212,0.071532634,-0.102467591
1.807197222,-0.007100084,-0.047746598,-0.004150906,0.054461845,0.032366542,0.049935089,0.030803584,-0.09133085
1.835008333,0.012634842,-0.000928593,0.042600414,0.019951568,0.015652507,0.003315659,0.017384315,-0.102382444
1.862813889,0.029250714,-0.010110412,0.08043967,0.064016836,0.013834699,0.073057481,0.05116642,-0.095308126
1.890622222,-0.047585228,0.007693232,-0.038940982,0.03062264,-0.023885676,0.010276651,0.014547412,-0.090752645
1.918413889,-0.047824058,-0.008056197,0.014818634,0.034580439,0.020808924,0.025871933,0.015862857,-0.086846535
1.946225,0.054816596,-0.00636399,-0.038652976,0.049224358,0.033649051,0.050775424,0.020360165,-0.078265997
1.974027778,0.048100813,-0.033958103,0.146636227,0.039567788,-0.018549631,0.079973333,0.037899735,-0.091395791
2.001838889,-0.009101787,-0.010468393,-0.046280692,0.026146335,0.033637595,0.050698721,0.02714453,-0.075984113
2.029644444,0.020195838,-0.007637394,-0.063037077,0.083682513,-0.028300198,0.0550741,0.027408006,-0.073630901
2.057438889,-0.005716049,-0.027055917,-0.025621037,0.028932241,0.019000371,0.066690683,0.012486734,-0.048687435
2.085225,0.054549591,-0.027273362,0.028916269,0.026664138,0.019351564,0.084455792,0.037157334,-0.069264297
2.113016667,0.082170765,-0.021550546,0.035720866,0.051700253,0.020704508,0.068096312,0.05448751,-0.049515392
2.140827778,0.042786385,-0.050872548,0.102981836,0.040580524,0.003870722,0.085426742,0.052730225,-0.044564681
2.168625,0.015764795,-0.017315527,-0.094753131,0.022296125,0.029103424,0.085691416,0.079024585,-0.067348046
2.196416667,-0.039950572,-0.073366696,0.197244624,0.051918176,-0.003396943,0.06814475,0.045066931,-0.081139008
2.224222222,-0.035645077,-0.074730166,0.074994616,0.03354663,0.032141206,0.07703461,0.032810878,-0.0721685
2.252011111,-0.00240179,-0.060754653,0.118399825,0.035391334,0.001470571,0.041928832,0.041400191,-0.077726856
2.279819444,0.020765135,-0.060309484,0.172302876,0.022598033,-0.011674132,0.083455297,0.070232249,-0.058633544
