Time,M0 - SGy104-1 - 1%,M1 - SGy104-5 - 1%,M2 - SGy104-4 - 3%,M3 - SGy104-5 - 3%,M4 - SGy104-4 - 6%,M5 - SGy104-5 - 6%,M6 - SGy104-4 - 10%,M7 - SGy104-5 - 10%
1.334483333,-0.002173101,0.061360082,0.04319509,0.053109809,0.100386769,0.098137266,0.194998324,-0.06838117
1.362294444,-0.007250988,0.05624077,0.048146565,0.055288955,0.110860804,0.04256563,0.253620748,-0.062441372
1.390091667,0.10572185,0.061775463,0.046068899,0.056642404,0.072059949,0.036696517,0.204961463,-0.075945996
1.417894444,0.022496453,0.067401036,0.045140669,0.055814042,0.108569728,0.061532868,0.040019188,-0.058865235
1.445686111,0.016702016,0.052222814,0.049238809,0.053743456,0.145134972,0.064118562,0.000186062,-0.075677493
1.473475,0.069699212,0.025794531,0.0316725,0.053555911,0.114334637,0.084412551,0.040662847,-0.072872156
1.501286111,-0.012170746,0.053308915,0.039493339,0.054380901,0.113337149,0.065368169,0.012178958,-0.059558557
1.529088889,-0.022874742,0.059925818,0.070019872,5.58E-02,0.109906423,0.063038156,0.076146182,-0.066705119
1.5569,0.079052706,0.073719107,0.035575705,0.054502425,0.129928735,0.037853396,0.035613136,-0.059054253
1.584702778,0.019505942,0.051187984,0.047304013,0.053695751,0.128552011,0.05713807,-0.006527809,-0.054377497
1.612488889,-0.021616416,0.067795387,0.027918501,0.057970604,0.126945059,0.018253767,0.06044299,-0.066132974
1.640297222,-0.045061621,0.084129571,0.045849112,0.056790411,0.132310147,0.086885936,0.042144743,-0.05087013
1.668102778,-0.054902846,0.083026333,0.036859875,0.058524947,0.131231649,0.125882389,8.60E-02,-0.062627712
1.695897222,0.034794353,0.042267664,0.079074729,0.057198538,0.085050025,0.070795069,0.056620326,-0.062160568
1.7237,0.054526203,0.052825004,0.055537332,0.057691941,0.095501265,0.084559286,0.025861165,-0.061092956
1.751494444,-0.063204794,0.073057186,0.04797444,0.060901929,0.125535549,0.059715086,0.032707543,-0.061752098
1.779302778,-0.078941697,0.034409244,0.037777197,0.061388054,0.094305909,0.002426831,0.061383363,-0.065415105
1.807105556,-0.004068857,0.025980809,0.040412845,0.061051455,0.081788353,0.057650751,0.050437583,-0.071303161
