Time,M0 - 3%,M1 - 3%,M2 - 1%,M3 - 1%,M4 - 6%,M5 - 6%,M6 - 10%,M7 - 10%
1.334497222,0.060775796,-0.010085161,0.065171065,0.033011367,0.085052016,0.052904022,0.034440842,-0.115607558
1.3623,-0.014907544,0.002224629,0.060928109,0.015661074,0.080357524,0.050022203,0.079548855,-0.115152388
1.390105556,0.102439374,-7.28E-03,0.026324515,0.017166624,0.075424688,0.051534624,0.00708016,-0.125361677
1.417913889,0.00535977,-0.004292979,0.031408582,0.055154282,0.051566601,0.05927744,0.042482214,-0.122790172
1.445716667,0.033133956,-0.022982545,0.044508928,0.073014547,0.071205907,0.062936269,0.037950602,-0.124058725
1.473513889,-0.018366061,-0.032994825,0.046727843,0.059903652,0.068289481,0.057000193,0.077154322,-0.099991337
1.501302778,0.044122884,-0.038310582,0.057227076,0.058069448,0.071611065,0.069356695,0.074074244,-0.089785638
1.529111111,-0.087707495,-0.007568488,0.069916388,5.51E-02,0.039261446,0.058894839,0.070002083,-0.093380986
1.556905556,0.012937449,-0.006131669,0.050561985,0.049930738,0.073833907,0.047470339,0.078316019,-0.089044989
1.584691667,-0.03179072,0.012824289,0.063753937,0.047017162,0.027238617,0.043550238,0.072494707,-0.006786293
1.6125,0.015166313,0.011461392,0.031059656,0.041288879,0.077469105,0.062278104,0.065968648,-0.124893915
1.640305556,0.071371129,-0.008247876,0.056214513,0.028527231,0.080431051,0.051207623,0.037107149,-0.136654096
1.668116667,0.132076836,0.040064674,0.072073231,0.022562779,0.029481589,0.051589808,2.65E-02,-0.087963195
1.695925,0.03013621,0.018520544,0.063611998,0.037388306,0.042582393,0.052973711,0.062841552,-0.11973114
1.723727778,0.009303876,0.039975031,0.041904183,0.022068113,0.074826979,0.051812321,0.039972526,-0.036065151
1.751538889,0.003624882,-0.019318116,0.090455434,0.020599724,0.010364988,0.049683426,0.048576951,-0.038508226
1.779341667,0.062396547,-0.019778941,0.095760171,0.037074381,0.092265378,0.045129266,0.038298504,-0.218620817
1.807138889,-0.001640867,-0.01492986,0.109132584,0.031820523,0.040754601,0.053595728,0.069036571,-0.175364359
1.83495,0.053029537,-0.037623017,0.058271914,0.034760169,0.106754184,0.051088066,0.03677933,-0.212909094
1.862758333,0.056851249,-0.036550735,0.058374775,0.030195811,0.082421307,0.062156505,0.013373798,-0.229915552
1.890561111,0.061656224,-0.023523595,0.060076978,0.03075959,0.040973876,0.057645943,0.025048169,-0.243733904
1.918355556,0.033895295,-0.008570959,0.057108989,0.021469086,0.086667039,0.054633847,0.072571566,-0.237886057
1.946147222,0.044945529,0.015395641,0.087338477,0.037502391,0.026041664,0.047383527,0.048912372,-0.190768231
1.973944444,0.230396316,-0.010675004,0.044395517,2.82E-02,0.030338912,0.048948164,0.083778985,-0.114727467
2.001733333,-0.009837645,0.029471449,0.081222106,0.04811386,0.058016257,0.056196679,0.058642007,-0.103190258
2.029525,-0.00306286,-0.022829434,0.059971465,0.053898122,0.058290608,0.052835773,0.035648873,-0.056409185
2.057338889,0.026722229,0.000177471,0.066251176,0.038660126,0.079498014,0.056724296,0.055713231,-0.057794114
2.085144444,0.05531322,-0.019440053,0.056531417,0.036901611,0.069174041,0.055184002,0.045341946,-0.063554941
2.112952778,0.008327752,-0.020199893,0.068148888,0.051142079,0.089261099,0.056724204,0.026520139,-0.085485951
2.140769444,-0.003942423,-0.031201332,0.043994396,0.054419866,5.29E-02,0.059121481,-0.018088785,-0.114425349
2.168580556,0.020144136,-0.044912425,0.064527518,0.037016067,0.042099293,0.05818027,0.045876646,-0.093372434
2.196383333,0.01409206,-0.025819018,0.018682505,0.028591893,0.075348409,0.058947741,-0.050060416,-0.006065176
2.224175,0.000522979,-0.035113249,0.052954028,0.036269338,0.072556027,0.057885522,0.453766035,0.078691294
2.251961111,-0.029188991,-0.034484798,0.095226798,0.058269649,0.073948935,0.059672709,0.050602921,0.039175649
2.279772222,0.057803675,-0.044674748,-0.057520956,0.04388494,0.09126028,0.056299864,0.102385209,-0.061854716
