Time,M0-1 - 0%,M1-1 - 0%,M2-1 - 1%,M3-1 - 1% ,M4-1 - 10%,M5-1 - 10%,M6-1 - 100%,M7-1 - 100%,M0-2 - 3%,M1-2 - 3%,M2-2 - 1%,M3-2 - 1%,M4-2 - 6%,M5-2 - 6%,M6-2 - 8%,M7-2 - 8%
0.667247222,0.063652949,-0.161918128,0.065562339,-0.08363053,-0.008781503,0.118540698,0.08968678,0.035534389,-0.047823394,-0.049274812,0.183255896,-0.039681207,0.158530935,0.136022119,0.086538153,0.045977988
0.695058333,0.043425071,-0.164222281,0.065049712,-0.051878607,-0.027264515,0.060838241,0.049622407,0.018884409,-0.046546879,-0.086751434,0.09195893,-0.088882592,0.139159039,0.15707495,0.104345636,0.032687632
0.722847222,0.067535679,-0.168481714,0.062217478,-0.074471721,-0.002697799,0.092238477,0.058813129,-0.037415856,0.037385133,-0.062698961,0.081434801,-0.062713534,0.179654005,0.370565764,0.096423833,0.071696709
0.750641667,0.075734327,-0.158575591,0.071285926,-0.080744265,-0.028291513,-0.000832795,0.055774566,0.044936271,0.038333013,-0.084261902,0.192197933,-0.087245181,0.172418475,0.145084996,0.092589748,0.036139688
0.778433333,0.086908463,-0.180947531,0.087220753,-0.007085646,-0.026299518,0.009636276,0.084558718,0.017072468,-0.038119753,-0.156828743,0.059729876,-0.051961086,0.157378639,0.127127461,0.09241574,0.03111383
0.806222222,0.032589836,-0.151016711,0.069134308,-0.008742355,0.00901845,0.038798413,0.08918118,0.042304655,0.083837011,-0.061330903,0.061060941,-0.023633748,0.135727342,0.086951679,0.105858618,0.035826017
0.834030556,0.070791048,-0.122885887,0.081341157,-0.070668698,-0.01317153,0.033530203,0.05700586,0.030284061,-0.059086271,-0.076893146,0.129316106,0.006531602,0.151231383,0.140719608,0.095259977,0.021547598
0.861822222,0.077897363,-0.151563266,0.067186894,-0.079392418,-0.023755658,0.156223561,0.043815961,0.014920343,0.008618525,-0.117258541,0.103507889,-0.075364197,0.150968226,0.182524563,0.099643553,0.011173526
0.889619444,0.082685611,-0.15843719,0.105428854,-0.056537293,-0.030670075,0.01705733,0.064934392,0.003887407,-0.026074373,-0.116961408,0.146038245,-0.051772247,0.14092379,0.019731806,0.111541621,0.011498777
0.917413889,0.081464996,-0.161201081,0.096939768,-0.036339691,0.009786266,-0.165153008,0.056854441,0.03533435,-0.029957294,-0.115400474,0.11134618,-0.083877181,0.125106543,0.113993599,0.100307859,0.042775037
0.945219444,0.05947957,-0.159245278,0.123828399,-0.050204683,0.013059846,-0.074411728,0.074475364,0.01564371,-0.012586918,-0.075800587,0.08817924,-0.019114605,0.141251482,0.094991685,0.095823976,0.026142642
0.973022222,0.053881584,-0.159541198,0.075827058,-0.037113,-0.00989753,0.032339572,0.074487914,0.054004299,0.025439319,-0.090776836,0.119215997,-0.047979874,0.154599563,0.049051301,0.09353262,0.037148273
1.000827778,0.076481847,-0.169193877,0.024809343,-0.029859568,-0.023821465,0.081013468,0.06481833,0.061132151,0.019443179,-0.097202341,0.111556597,-0.052791035,0.174280902,0.208541941,0.115553683,0.042792077
1.028622222,0.076396375,-0.16196322,0.050066564,-0.058198026,-0.069495398,0.200704529,0.063540557,0.06321978,-0.067721657,-0.10384786,0.097772476,-0.075561005,0.158811532,0.235420306,0.105626235,0.032556129
1.056433333,0.125433085,-0.173239664,0.185340637,-0.047903168,-0.012366745,0.230439095,0.059090653,0.049197841,-0.061857296,-0.080640109,0.100978006,-0.056431161,0.153513332,0.267295628,0.116509569,0.014027632
1.084227778,0.14243741,-0.170817775,0.096341121,-0.051914897,-0.035883011,0.15125123,0.089203774,0.007456854,0.017624486,-0.067824004,0.119214984,-0.055046142,0.136958929,0.224145541,0.125699119,0.017100619
1.112033333,0.062889874,-0.130553187,0.089124212,-0.050698861,0.011018998,0.080856958,0.073317452,0.000416237,0.058846627,-0.093602039,0.095305854,-0.05601103,0.11916036,-0.041455586,0.105179115,0.027885471
1.139825,0.001964046,-0.146455543,0.067520457,-0.017548699,-0.003213871,0.146638548,0.08851753,-0.006438318,-0.024607056,-0.123559713,0.08342899,-0.081498099,0.144809423,0.179148798,0.101235995,0.048655117
1.167625,0.006162775,-0.162676247,0.051490431,-0.017174531,-0.028592994,0.176146064,0.074702524,-0.005327469,-0.051617553,-0.107915019,0.088594527,-0.083203925,0.131456542,0.137115595,0.102360902,0.040340109
1.195433333,0.054345014,-0.154422708,0.070259227,-0.021708371,0.07236283,0.148437455,0.073631392,-0.002702108,-0.020456541,-0.087142251,0.076374708,-0.060232842,0.170736514,0.179391138,0.104823177,0.068438428
1.223222222,0.045004492,-0.157289737,0.076392463,-0.017243997,0.07901284,0.133121114,0.05224596,0.017837277,-0.062207467,-0.071016455,0.018121561,-0.051949829,0.123327763,0.129787318,0.095027095,0.023128823
1.251033333,0.070493515,-0.164490012,0.048141486,-0.017353535,-0.041429026,0.165938255,0.065396933,0.050265967,-0.054181111,-0.114190082,0.052416591,-0.03304642,0.137585953,0.130642815,0.102883905,0.02602452
1.278825,0.068957691,-0.133254777,0.138703745,-0.021970479,-0.044846601,0.14333639,0.040564776,-0.009552963,0.035408286,-0.104606599,0.120030014,-0.049259327,0.153001153,0.068814159,0.11462626,0.019667784
1.306633333,0.059360854,-0.1480677,0.0727029,-0.044484788,0.040151688,0.212598707,0.035776682,0.011189893,-0.011222216,-0.109788493,0.225734101,-0.035888626,0.12044727,0.145758295,0.112620537,0.034462845
1.334444444,0.07424969,-0.157258322,0.103989216,-0.029786633,0.095748875,0.18689594,0.055307081,0.015123573,-0.058685347,-0.117856495,0.162103174,-0.032104435,0.155613656,0.138124504,0.12681418,0.048306625
1.362236111,0.071602994,-0.132984256,0.122660322,-0.046737936,0.006433943,0.135057726,0.064361816,0.023294343,0.035203384,-0.107993546,0.119214113,-0.022870497,0.139894585,0.149552524,0.081952328,0.042127
1.390022222,0.069832572,-0.143412073,0.187066263,-0.025353964,0.007176602,0.122541058,0.053351893,0.007621726,-0.035282146,-0.098903569,0.067462699,-0.037639778,0.1345599,0.143248265,0.074101481,0.025797767
1.417833333,0.077494927,-0.120675682,0.106285767,-0.032986336,0.096651585,0.103181023,0.055881904,0.028681962,-0.079326281,-0.093016885,0.161676108,-0.035854954,0.130436817,0.094887857,0.092570375,0.041391816
1.445655556,0.062301328,-0.129910974,0.070047333,-0.037263332,0.015499021,0.079922252,0.065629357,0.010535635,-0.010990541,-0.069017186,0.120387353,-0.035667424,0.150268694,0.173119547,0.1135605,0.015513633
1.473466667,0.05102228,-0.145921368,0.065602625,-0.065531786,0.069154734,0.026842368,0.083043834,0.007960054,0.046094742,-0.085486907,0.071715077,-0.159001373,0.137002259,0.140752202,0.120191592,0.045649126
1.501261111,0.065041593,-0.15584578,0.051206182,-0.046179898,-0.006425129,0.123737991,0.088924122,0.021923098,0.052636052,-0.061766027,0.032538488,0.083081419,0.158674785,0.007270889,0.125947506,0.028503107
1.529069444,0.029986478,-0.105571116,0.310367527,-0.011757963,0.024990022,0.157313722,0.057574449,0.06351466,0.051323719,-0.078953311,0.06491618,-0.120258567,0.138213404,0.160962355,0.130104355,0.038721813
1.556866667,0.071803074,-0.103494965,0.214103378,-0.026211112,0.044399729,0.074080296,0.047373274,0.039925128,0.063040849,0.053297396,0.10863616,-0.065470195,0.153133251,0.125930934,0.139925822,0.03272149
1.584677778,0.045609806,-0.102035769,0.091951007,-0.068564942,0.076433249,0.081925246,0.078369697,0.121092363,-0.061621666,-0.083922831,-0.013988924,-0.04087608,0.135379866,0.151592978,0.133671454,0.024765202
1.612469444,0.039239407,-0.107302396,0.068085344,-0.068527925,-0.013911979,0.105521504,0.0551775,0.171335444,-0.001165786,-0.082188213,0.013819803,-0.018673314,0.179186633,0.126563628,0.136735538,0.027793532
1.640280556,0.059498808,-0.119901731,-0.010525553,-0.008833426,-0.045058821,0.117563625,0.078279227,-0.080929289,-0.000263317,-0.094878264,0.065401181,-0.017991784,0.156277641,0.158458065,0.105757644,0.027214415
1.668088889,0.037129705,-0.157941718,0.155015894,-0.034064706,-0.059033835,-0.019811405,0.056798109,0.0679357,-0.004113589,-0.147447212,0.202431939,-0.017881595,0.14588722,0.135564245,0.141162811,0.031494032
1.6959,0.05993783,-0.116315566,0.039948635,-0.022052559,-0.080952335,0.119603523,0.061855657,0.037231673,0.025430679,-0.113462578,0.100732445,-0.042568724,0.152634836,0.005314127,0.134014915,0.021436558
1.723708333,0.0347066,-0.157613757,0.001478291,-0.026598672,-0.031879237,0.101996225,0.0578448,0.084799757,0.055208248,-0.139171194,0.057673352,-0.006152501,0.147642445,0.155559991,0.106859685,0.021656865
1.7515,0.074229029,-0.113659729,0.14271692,-0.039474551,-0.068290499,0.165073222,0.073291694,0.082990166,-0.000158767,-0.099019976,0.048820505,-0.049275721,0.144542494,0.1585966,0.127428876,0.029283909
1.779311111,0.074925183,-0.118724684,0.078129903,-0.044380551,-0.0024483,0.123956287,0.064692655,-0.267387477,-0.005544686,-0.098786644,0.356348229,-0.044109959,0.152001507,0.178957461,0.119462981,0.0452862
