Time,M0 - SGy103-10 - 0%,M1 - SGy103-16 - 0%,M2 - SGy103-10 - 1%,M3 - SGy103-16 - 1%,M4 - SGy103-10 - 10%,M5 - SGy103-16 - 10%,M6 - SGy103-10 - 100%,M7 - SGy103-16 - 100%
1.306758333,0.066827615,0.040530777,0.054583196,0.04264285,0.095051959,0.052608167,0.067287367,-0.166951644
1.334552778,0.028707067,0.028592199,0.053073023,0.037495714,0.094202768,0.056465774,0.17638058,-0.144899255
1.362361111,0.056073902,0.016458178,0.041583246,0.045061041,0.084373549,0.072203383,0.065277463,-0.072089177
1.390158333,-0.020106514,1.42E-02,0.056617219,0.040528526,0.080126177,0.055850107,0.039197565,-0.067195832
1.417963889,0.067355974,0.006558501,0.046712917,0.046139065,0.093166125,0.067101028,-0.074264085,-0.077855196
1.445772222,-0.019168059,0.015150777,0.036142248,0.041911267,0.114666805,0.045088086,0.082343869,0.045968129
1.473563889,0.019971108,0.0207009,0.041619592,0.042921789,0.09211281,0.05243316,0.164596474,-0.067860086
1.501369444,0.044656774,0.005239431,0.046300716,0.043433357,0.125357416,0.004800762,0.151569151,-0.10301453
1.529180556,0.040761711,0.002156791,0.033994136,4.52E-02,0.125605095,0.149253152,0.055021197,-0.056417608
1.556988889,0.033353262,-0.012523039,0.046594462,0.040473752,0.108895152,0.075624233,0.071922918,-0.098917434
1.584791667,0.088310774,0.045091727,0.040923517,0.043303855,0.14367594,0.094537776,0.044707544,-0.09546726
1.612591667,0.06587103,0.017864528,0.061226086,0.051069395,0.118946586,0.121016874,-0.276530081,-0.033554887
1.6404,-0.024148153,0.00809867,0.06692508,0.043289027,0.151545798,0.086822698,0.029207225,-0.01434929
1.668202778,-0.030505085,0.010958851,0.070642971,0.043149543,0.075299564,0.067447934,2.92E-01,-0.133929035
1.696013889,-0.004348776,0.09803687,0.061600999,0.042780839,0.101586326,0.119160435,0.041756972,-0.017755434
